,1,2,3,4,5,6,7,8,9,10
SNR,21.37820299243836,21.276737955139076,21.356024868895844,21.300569582723917,21.323977641927353,21.35352139205714,21.324866271742376,21.19556024299884,21.338681846084366,21.300316985761462
Latency,0.0028709015275029137,0.0029323921414017326,0.002863700943660975,0.0028955724987963084,0.0028881511807355297,0.0028514368787070574,0.0029170081083221043,0.003015487873445297,0.0028628484692427647,0.0029170081083221043
Average_capacity,550.285,548.361,545.254,546.88,547.218,547.419,550.215,537.023,547.993,547.517
Max_capacity,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177,652.177
Min_capacity,463.931,463.931,420.447,420.447,463.931,463.931,463.931,416.048,463.931,463.931
Total_capacity,34117.676,33998.385,33805.804,34453.5,34474.771,34487.413,34663.583,34369.472,34523.578,34493.579
Blocking_event,96,84,70,80,73,51,69,101,65,102
Max_snr,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014,26.589657202283014
Min_snr,17.71041049873793,16.99564220340178,17.71041049873793,17.71041049873793,16.99564220340178,17.71041049873793,17.71041049873793,17.632998670557257,16.99564220340178,17.71041049873793
Rejected_connections,0,0,0,0,0,0,0,0,0,0
Accepted_connections,62,62,62,63,63,63,63,64,63,63
